Nombre del Centro;Num de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional
CONSULTA DE PODOLOGIA DE HINOJOSA DE DUERO;37-C22-0152;CL. ESTACION, 3;37,230;HINOJOSA DE DUERO;SALAMANCA;923,262,767;923,515,003;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGIA;IGLESIAS SANCHEZ , ANA;PRIVADOS
CLINICA DENTAL MASDENTAL;34-C251-0088;CL. QUINTANA 4;34,400;HERRERA DE PISUERGA;PALENCIA;606,034,160;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;GONZALEZ GOMEZ , ANA BELEN;PRIVADOS
CLINICA PRESA;24-C22-0273;CL. Puente Piedra 24;24,280;BENAVIDES DE ORBIGO;LEON;696,332,981;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;PRESA CALZADO , JOSE LUIS;PRIVADOS
CONSULTORIO LOCAL DE UFONES;49-C232-0367;CL. FUENTE VIEJA 2;49,000;UFONES;ZAMORA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE RABANALES;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA DENTAL DE D. FCO. JAVIER CARNICERO GONZALEZ;37-C251-0153;CL. ECHEGARAY, N. 5  B;37,005;SALAMANCA;SALAMANCA;923,227,454;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CARNICERO GONZALEZ , FCO. JAVIER;PRIVADOS
SERVICIOS SANITARIOS DE PORTUGAL ESTILISTAS;09-C3-0121;PZ. CONSTITUCION 5;9,400;ARANDA DE DUERO;BURGOS;947,512,819;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA;PORTUGAL ESTILISTAS, S.L.;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE PIAS;49-C232-0225;ED. CONSULTORIO;49,580;PIAS;ZAMORA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE PIAS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE VIZMALO;09-C232-0455;CL. BARRIO BAJO;9,260;VIZMALO;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE REVILLA-VALLEGERA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO LOCAL DE QUINTANILLA DE SOMOZA;24-C232-0539;CL. DESCONOCIDA 0;24,717;QUINTANILLA DE SOMOZA;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LUYEGO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO LOCAL DE TORREBLACOS;42-C232-0270;CL. DESCONOCIDA;42,194;TORREBLACOS;SORIA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE TORREBLACOS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA MEDICO-DENTAL TIRSO DE MOLINA;40-C24-0006;PZ. TIRSO DE MOLINA, LOCAL 9;40,006;SEGOVIA;SEGOVIA;921,442,924;0;CENTROS POLIVALENTES;CIRUGIA GENERAL Y DIGESTIVO#CIRUGIA MENOR AMBULATORIA#MEDICINA GENERAL /  DE FAMILIA#ODONTOLOGIA / ESTOMATOLOGIA#PODOLOGIA;CLINICA MEDICO DENTAL TIRSO DE MOLINA, C.B.;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE AGUILERA (LA);09-C232-0007;CL. SAN PEDRO REGALADO 25;9,440;AGUILERA (LA);BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE ARANDA DE DUERO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTA DE PSICOLOGIA DE D.. SARA MANSO;37-C22-0431;AV. DE MIRAT, N. 1 - ATICO A;37,002;SALAMANCA;SALAMANCA;626,783,860;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);MANSO DE DIOS , SARA;PRIVADOS
DENTAL CAMPOO AGUILAR;34-C251-0087;CL. EL PUENTE 18;34,800;AGUILAR DE CAMPOO;PALENCIA;609,004,060;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;DENTAL CAMPOO AGUILAR, S.L.;PRIVADOS
CLINICA DE FISIOTERAPIA TARANILLA;24-C22-0096;CL. SANTIESTEBAN Y OSORIO 18;24,004;LEON;LEON;676,962,254;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;TARANILLA CLINICAS, S.L.;PRIVADOS
MEDICAL OPTICA AUDICION;09-E-0066;CL. ELADIO PERLADO  35;9,007;BURGOS;BURGOS;902,118,737;947,470,759;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;IBERVISION SERVICIOS OPTICOS, S.L.;PRIVADOS
CONSULTORIO LOCAL DE VILLANUEVA DE LOS INFANTES;47-C232-0185;PZ. MAYOR 0;47,174;VILLANUEVA DE LOS INFANTES;VALLADOLID;983,506,184;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VILLANUEVA DE LOS INFANTES;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CENTRO DE SALUD SEGOVIA RURAL;40-C231-0012;CL. ALTOS DE LA PIEDAD 0;40,002;SEGOVIA;SEGOVIA;921,442,590;921,440,699;CENTROS DE ATENCION PRIMARIA: CENTROS DE SALUD;ATENCION SANITARIA DOMICILIARIA#CIRUGIA MENOR AMBULATORIA#ENFERMERIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#PEDIATRIA#PLANIFICACION FAMILIAR#URGENCIAS#VACUNACION;COMUNIDAD AUTONOMA DE CASTILLA Y LEON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE VIVAR DEL CID;09-C232-0457;AV. DEL CID, 1;9,140;VIVAR DEL CID;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE QUINTANILLA VIVAR;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
SERVICIOS SANITARIOS DE LA CENTRAL TERMICA DE ANLLARES;24-C3-0128;BO. DE LA CHANA 0;24,488;ANLLARES DEL SIL;LEON;987,526,300;987,526,326;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;ENFERMERIA#MEDICINA DEL TRABAJO#MEDICINA GENERAL /  DE FAMILIA;CENTRAL TERMICA DE ANLLARES, C.B.;PRIVADOS
CONSULTA DE PEDIATRIA Y MEDICINA FAMILIAR DE D. LADISLAO BURGOA ARRIBAS;42-C21-0021;AV. MARIANO VICEN 6  A;42,003;SORIA;SORIA;975,220,585;0;CONSULTAS MEDICAS;MEDICINA GENERAL /  DE FAMILIA#PEDIATRIA;BURGOA ARRIBAS , LADISLAO;PRIVADOS
CONSULTA DE PSICOLOGIA DE D.. LETICIA RODRIGUEZ SANCHEZ;37-C22-0428;AV. DE MIRAT, N. 36, 1. IZQ.;37,005;SALAMANCA;SALAMANCA;699,048,172;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);RODRIGUEZ SANCHEZ , LETICIA;PRIVADOS
OPTICA OLMEDO;47-E-0117;CL. MARCOS SALGUEIRO 1;47,410;OLMEDO;VALLADOLID;983,623,160;0;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE OPTICA;GONZALEZ  GUERRA , SONIA;PRIVADOS
CONSULTORIO LOCAL DE VILLALBA DE ADAJA;47-C232-0205;CL. LA CONSTITUCION 1;47,238;MATAPOZUELOS;VALLADOLID;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE MATAPOZUELOS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CENTRO MEDICO PSICOTECNICO BENAVENTE;34-C2510-0003;CL. JACINTO BENAVENTE 2;34,001;PALENCIA;PALENCIA;979,726,959;979,726,959;ESPECIALIZADOS: CENTROS DE RECONOCIMIENTO;OTRAS UNIDADES ASISTENCIALES;CENTRO MEDICO PSICOTECNICO BENAVENTE, S.L.;PRIVADOS
CORPORE SANO FISIOTERAPIA;24-C22-0363;CL. DAOIZ Y VELARDE 6 BJ;24,006;LEON;LEON;0;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;GUTIERREZ LANZA , SONIA;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE CARRASCAL DE LA CUESTA;40-C232-0046;CL. ESCUELA 3;40,181;CARRASCAL;SEGOVIA;921,500,000;921,501,028;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE TUREGANO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
SERVICIO DE MEDICINA DEL TRABAJO DE PREMAP SEGURIDAD Y SALUD S.L.U. SEGOVIA;40-C3-0050;AV. OBISPO QUESADA 26;40,006;SEGOVIA;SEGOVIA;921,413,240;921,444,414;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;MEDICINA DEL TRABAJO;PREMAP SEGURIDAD Y SALUD S.L.;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE PESQUERA;05-C232-0221;CL. DESCONOCIDA;5,515;PESQUERA;AVILA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE PIEDRAHITA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTA DE PSIQUIATRIA DE D. JOSE MARIA REDERO SAN ROMAN;40-C21-0025;CL. DAOIZ 9  C;40,003;SEGOVIA;SEGOVIA;921,462,764;0;CONSULTAS MEDICAS;PSIQUIATRIA;REDERO SAN ROMAN , JOSE MARIA;PRIVADOS
CONSULTA DE TRAUMATOLOGIA Y C. ORTOPEDICA DE D. MANUEL GONZALEZ RODRIGUEZ;34-C21-0071;CL. MARIA DE MOLINA 7;34,002;PALENCIA;PALENCIA;979,702,673;0;CONSULTAS MEDICAS;CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA;GONZALEZ  RODRIGUEZ , MANUEL;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE CILLAMAYOR;34-C232-0314;CL. REAL,  S/N;34,829;CILLAMAYOR;PALENCIA;629,834,799;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;JUNTA VECINAL DE CILLAMAYOR;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
SERVICIOS SANITARIOS DE CENTROS UNICO;09-C3-0144;AV. CASTILLA Y LEON 22;9,006;BURGOS;BURGOS;947,233,948;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA;LA GAVIA ASESORES AYALA S.L.;PRIVADOS
CONSULTORIO LOCAL DE VILLANUEVA DE JAMUZ;24-C232-0193;CL. DESCONOCIDA 0;24,762;VILLANUEVA DE JAMUZ;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SANTA ELENA DE JAMUZ;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA DENTAL PRADOMORAL - COCA;40-C251-0015;CL. MESONERO MAYOR DE CASTILLA 8  C;40,480;COCA;SEGOVIA;921,586,147;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;PRADOMORAL S.L.;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE SAN BARTOLOME DE CORNEJA;05-C232-0241;PZ. DE LA IGLESIA, S/N;5,516;SAN BARTOLOME DE CORNEJA;AVILA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SAN BARTOLOME DE CORNEJA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO LOCAL DE CERECINOS DEL CARRIZAL;49-C232-0074;CL. NUEVA;49,125;CERECINOS DEL CARRIZAL;ZAMORA;980,501,254;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE CERECINOS DEL CARRIZAL;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
OPTICA Q-VES;37-E-0072;CL. FEDERICO ANAYA 90-92;37,004;SALAMANCA;SALAMANCA;923,124,754;0;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE OPTICA;GARCIA  DE AVILA , JOSE JAVIER;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE RUBENA;09-C232-0406;CL. REAL;9,199;RUBENA;BURGOS;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE RUBENA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO LOCAL DE CAMPORREDONDO;47-C232-0030;CL. CLINICA 0;47,165;CAMPORREDONDO;VALLADOLID;983,694,154;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE CAMPORREDONDO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTA MEDICA DEL CENTRO PORTA DELLA BELLEZA;47-C21-0204;CL. ATRIO DE SANTIAGO  1  C;47,001;VALLADOLID;VALLADOLID;983,378,484;983,378,585;CONSULTAS MEDICAS;MEDICINA GENERAL /  DE FAMILIA;GORVENVE S.L.;PRIVADOS
CENTRO DE SALUD DE SEDANO;09-C231-0015;CL. LAS ERAS 0;9,142;SEDANO;BURGOS;947,150,038;947,150,087;CENTROS DE ATENCION PRIMARIA: CENTROS DE SALUD;ATENCION SANITARIA DOMICILIARIA#CIRUGIA MENOR AMBULATORIA#ENFERMERIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#URGENCIAS#VACUNACION;JUNTA DE CASTILLA Y LEON;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO DE ATENCION PRIMARIA DE SAN FACUNDO;24-C232-0717;CL. SOFREO 0;24,317;SAN FACUNDO;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;JUNTA VECINAL DE SAN FACUNDO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
DENTAL CLINIC DR. MARTIN;09-C251-0202;CL. HUELVA 18;9,007;BURGOS;BURGOS;0;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;RUIZ MARTINEZ , ALMUDENA;PRIVADOS
FISIONET TORDESILLAS;47-C22-0040;AV. LEON 2  B;47,100;TORDESILLAS;VALLADOLID;983,771,777;983,771,777;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MARTIN DE MINGO , MONICA;PRIVADOS
CLINICA ALEXANDER;47-C21-0385;CL. SANDOVAL 5  B;47,003;VALLADOLID;VALLADOLID;679,901,231;0;CONSULTAS MEDICAS;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#MEDICINA GENERAL /  DE FAMILIA;ZLATANOVA GUEORGUIEVA , ANNA TAKOVA;PRIVADOS
FLOR BARTOLOME CENTRO DE FISIOTERAPIA;09-C2590-0051;CL.  ISABEL TORRES 2;9,001;BURGOS;BURGOS;947,103,192;0;OTROS CENTROS ESPECIALIZADOS;FISIOTERAPIA;BARTOLOME CERREDA , FLOR EVA;PRIVADOS
CONSULTORIO LOCAL DE MATANZA DE SORIA;42-C232-0161;CL. DESCONOCIDA;42,351;MATANZA DE SORIA;SORIA;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SAN ESTEBAN DE GORMAZ;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
DRA.BLANCA LLAMAZARES GARCIA;47-C21-0369;CL. TORRECILLA 14-BIS   A;47,003;VALLADOLID;VALLADOLID;983,267,753;983,267,753;CONSULTAS MEDICAS;MEDICINA GENERAL /  DE FAMILIA;LLAMAZARES GARCIA , BLANCA;PRIVADOS
CONSULTA DE GINECOLOGIA Y OBSTETRICIA DE D.. M. GENOVEVA CORRAL DE LA CRUZ;37-C21-0260;CL. CORRALES DE MONROY, N. 36-42, DESPACHO 11;37,001;SALAMANCA;SALAMANCA;663,064,392;0;CONSULTAS MEDICAS;GINECOLOGIA #OBSTETRICIA;CORRAL DE LA CRUZ , M.GENOVEVA;PRIVADOS
CENTRO OPTICO SEGOVIANO;40-E-0012;CL. SANTO TOMAS 1;40,002;SEGOVIA;SEGOVIA;921,444,723;921,444,723;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;CENTRO OPTICO SEGOVIANO;PRIVADOS
CENTRO DE SALUD DE ROBLEDA;37-C231-0018;CL. CALZADA 0;37,521;ROBLEDA;SALAMANCA;923,486,251;923,486,502;CENTROS DE ATENCION PRIMARIA: CENTROS DE SALUD;ATENCION SANITARIA DOMICILIARIA#ENFERMERIA#ENFERMERIA OBSTETRICO - GINECOLOGICA (MATRONA)#MEDICINA GENERAL /  DE FAMILIA#OBTENCION DE MUESTRAS#PEDIATRIA#URGENCIAS#VACUNACION;GERENCIA REGIONAL DE SALUD;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA MULTIMEDICA CENTRO;37-C24-0006;CL. JAMAICA 16-24;37,003;SALAMANCA;SALAMANCA;923,183,131;923,183,347;CENTROS POLIVALENTES;ANESTESIA Y REANIMACION#CIRUGIA GENERAL Y DIGESTIVO#CIRUGIA MAXILOFACIAL#CIRUGIA MAYOR AMBULATORIA#CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA#CIRUGIA PLASTICA Y REPARADORA#DEPOSITO DE MEDICAMENTOS#DERMATOLOGIA #ENDOCRINOLOGIA #ENFERMERIA#GINECOLOGIA #HOSPITAL DE DIA #INSEMINACION ARTIFICIAL#INTERRUPCION VOLUNTARIA DEL EMBARAZO #LABORATORIO DE SEMEN PARA CAPACITACION ESPERMATICA#NEUROLOGIA#NUTRICION Y DIETETICA#OBSTETRICIA#ODONTOLOGIA / ESTOMATOLOGIA#OFTALMOLOGIA#ONCOLOGIA #OTRAS UNIDADES ASISTENCIALES (CENTRO DE RECONOCIMIENTO) #OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#SERVICIO DE TRANSFUSION#TERAPIAS NO CONVENCIONALES#UROLOGIA#VACUNACION;BARROMARCO S.L.;PRIVADOS
CONSULTORIO LOCAL DE TAPIA DE LA RIBERA;24-C232-0516;CL. DESCONOCIDA 0;24,275;TAPIA DE LA RIBERA;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE RIOSECO DE TAPIA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO LOCAL DE SAN CEBRIAN DE MAZOTE;47-C232-0087;CL. LA PARRA 0;47,129;SAN CEBRIAN DE MAZOTE;VALLADOLID;983,780,077;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE SAN CEBRIAN DE MAZOTE;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTA DE DERMATOLOGIA DE D. JOSE ENRIQUE VEGA MARTINEZ;24-C21-0063;CL. SAN AGUSTIN 4  A;24,001;LEON;LEON;987,231,837;0;CONSULTAS MEDICAS;DERMATOLOGIA;VEGA MARTINEZ , JOSE ENRIQUE;PRIVADOS
CONSULTA DE FISIOTERAPIA DE D. MIGUEL HERNANDEZ CALLEJO;09-C22-0233;CL. BURGO DE OSMA INSTALACIONES PELVIC-FISIOTERAPIA 26;9,400;ARANDA DE DUERO;BURGOS;679,262,449;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;HERNANDEZ CALLEJO , MIGUEL;PRIVADOS
CONSULTA DE OFTALMOLOGIA DE D. LUIS SANZ HOSPITAL EN GUARDO;34-C21-0092;CL. ARROYAL 2;34,880;GUARDO;PALENCIA;979,851,291;0;CONSULTAS MEDICAS;OFTALMOLOGIA;SANZ HOSPITAL , LUIS;PRIVADOS
CONSULTA DE FISIOTERAPIA D. JUAN CARLOS LLAMAS MOREJON;34-C22-0048;CL. MARIA DE MOLINA 7;34,002;PALENCIA;PALENCIA;687,494,661;979,166,132;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;LLAMAS MOREJON , JUAN CARLOS;PRIVADOS
CENTRO ODONTOLOGICO CARMELITAS;37-C2590-0029;PS. DE CARMELITAS 10;37,006;SALAMANCA;SALAMANCA;923,122,068;0;OTROS CENTROS ESPECIALIZADOS;CIRUGIA MAXILOFACIAL#ODONTOLOGIA / ESTOMATOLOGIA;CENTRO DE ESPECIALIDADES ODONTOL. CARMELITAS, S.C.;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE ALBORNOS;05-C232-0005;CL. CAMINO DE SAN JUAN, S/N;5,358;ALBORNOS;AVILA;920,240,258;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE ALBORNOS;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CLINICA DENTAL JAVIER PEREZ MORATO;37-C251-0221;CL. ARROYO, 7-9;37,188;CARBAJOSA DE LA SAGRADA;SALAMANCA;666,502,345;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;PEREZ MORATO , JAVIER;PRIVADOS
CONSULTORIO DE ATENCION PRIMARIA DE TRABANCA;37-C232-0409;PZ. EGIDO, 0;37,173;TRABANCA;SALAMANCA;923,089,916;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE TRABANCA;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
INSTITUTO DE LA VISION DEL BIERZO;24-C2590-0015;PZ. DEL AYUNTAMIENTO 4;24,401;PONFERRADA;LEON;987,456,218;987,456,219;OTROS CENTROS ESPECIALIZADOS;CIRUGIA REFRACTIVA#DEPOSITO DE MEDICAMENTOS#OFTALMOLOGIA;INSTITUTO DE LA VISION DEL BIERZO, S.L.;PRIVADOS
CONSULTORIO LOCAL DE MURIEL DE ZAPARDIEL;47-C232-0112;CL. CANTARRANAS 2;47,219;MURIEL DE ZAPARDIEL;VALLADOLID;983,815,038;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE MURIEL;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
RESIDENCIA PARA PERSONAS MAYORES SANTA ANA;47-C3-0202;PZ. CONSTITUCION 4-BIS;47,610;ZARATAN;VALLADOLID;983,374,733;983,380,805;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS#ENFERMERIA#FISIOTERAPIA#MEDICINA GENERAL /  DE FAMILIA#PODOLOGIA#TERAPIA OCUPACIONAL;REGEVASA SANTA ANA S.L.L.;PRIVADOS
CONSULTORIO LOCAL DE VALDEFUENTES DEL PARAMO;24-C232-0428;CL. DESCONOCIDA 0;24,253;VALDEFUENTES DEL PARAMO;LEON;0;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE VALDEFUENTES DEL PARAMO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
CONSULTORIO LOCAL DE BURGANES DE VALVERDE;49-C232-0043;CL. DESCONOCIDA;49,698;BURGANES DE VALVERDE;ZAMORA;980,640,629;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE BURGANES DE VALVERDE;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA
GENERAL OPTICA S.A.;40-E-0043;CL. FERNANDEZ LADREDA 15;40,001;SEGOVIA;SEGOVIA;921,430,775;921,430,775;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE OPTICA;GENERAL OPTICA S.A.;PRIVADOS
CLINICA DENTAL  TERESA BARRIO;47-C251-0105;CL. DOCTOR CAZALLA 7  A;47,003;VALLADOLID;VALLADOLID;983,358,989;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;COT JOLIN , SOLEDAD;PRIVADOS
APOFIS FISIOTERAPIA;09-C22-0119;AV. REYES CATOLICOS 33;9,005;BURGOS;BURGOS;947,100,077;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;APOFIS FISIOTERAPIA, S.C.;PRIVADOS
